team_name,game_count,fg_made,fg_attempted,fg_percentage,fg_effective_percentage,fg2_made,fg2_attempted,fg2_percentage,fg3_made,fg3_attempted,fg3_percentage,defender_distance,fg_proportion,fg2_proportion,fg3_proportion,team_id
Atlanta Hawks,27,6.6,14.4,45.4,45.8,6.4,13.8,46.5,0.1,0.6,18.8,0-2,0.45399999999999996,0.465,0.188,1
Boston Celtics,28,7.0,15.9,43.8,44.3,6.8,15.0,45.4,0.1,0.9,16.7,0-2,0.43799999999999994,0.45399999999999996,0.16699999999999998,2
Brooklyn Nets,26,8.9,18.2,48.8,49.0,8.8,17.7,49.7,0.1,0.5,16.7,0-2,0.488,0.49700000000000005,0.16699999999999998,3
Charlotte Hornets,29,6.9,16.1,42.7,44.1,6.5,15.0,43.1,0.5,1.2,38.2,0-2,0.42700000000000005,0.431,0.382,4
Chicago Bulls,27,9.4,19.1,49.2,49.5,9.3,18.7,49.6,0.1,0.4,30.0,0-2,0.49200000000000005,0.496,0.3,5
Cleveland Cavaliers,26,6.0,12.8,47.0,47.9,5.8,11.9,48.5,0.2,0.9,26.1,0-2,0.47,0.485,0.261,6
Dallas Mavericks,28,5.0,10.7,47.0,47.0,5.0,10.4,48.3,0.0,0.3,0.0,0-2,0.47,0.483,0.0,7
Denver Nuggets,28,8.2,17.4,47.2,47.6,8.1,16.9,48.1,0.1,0.6,23.5,0-2,0.47200000000000003,0.48100000000000004,0.235,8
Detroit Pistons,30,7.0,15.7,44.7,44.9,6.9,15.3,45.3,0.1,0.4,18.2,0-2,0.447,0.45299999999999996,0.182,9
Golden State Warriors,29,7.2,14.6,49.5,50.6,6.9,13.7,50.5,0.3,0.9,34.6,0-2,0.495,0.505,0.34600000000000003,10
Houston Rockets,29,6.4,13.9,46.3,47.3,6.1,13.0,47.2,0.3,0.9,32.0,0-2,0.46299999999999997,0.47200000000000003,0.32,11
Indiana Pacers,30,7.8,17.0,46.2,46.4,7.8,16.5,47.2,0.1,0.5,13.3,0-2,0.462,0.47200000000000003,0.133,12
LA Clippers,29,7.2,15.3,46.8,47.9,6.9,14.2,48.2,0.3,1.1,29.0,0-2,0.46799999999999997,0.48200000000000004,0.29,13
Los Angeles Lakers,31,8.0,17.7,45.3,46.0,7.8,17.0,45.7,0.3,0.7,34.8,0-2,0.45299999999999996,0.457,0.348,14
Memphis Grizzlies,28,6.1,14.8,41.4,41.5,6.1,14.4,42.2,0.0,0.4,9.1,0-2,0.414,0.42200000000000004,0.091,15
Miami Heat,29,7.3,17.0,42.8,43.3,7.1,16.4,43.2,0.2,0.6,31.3,0-2,0.428,0.43200000000000005,0.313,16
Milwaukee Bucks,26,7.8,15.7,49.8,50.5,7.6,15.0,50.6,0.2,0.7,31.6,0-2,0.498,0.506,0.316,17
Minnesota Timberwolves,27,8.1,18.8,43.0,43.3,8.0,18.4,43.3,0.1,0.4,30.0,0-2,0.43,0.433,0.3,18
New Orleans Pelicans,30,6.7,14.7,45.5,45.5,6.7,14.7,45.7,0.0,0.1,0.0,0-2,0.455,0.457,0.0,19
New York Knicks,28,6.8,15.4,44.2,44.2,6.8,15.2,44.7,0.0,0.2,0.0,0-2,0.442,0.447,0.0,20
Oklahoma City Thunder,28,8.6,18.8,46.0,46.2,8.6,18.3,46.8,0.1,0.5,15.4,0-2,0.46,0.46799999999999997,0.154,21
Orlando Magic,29,6.4,13.3,48.0,48.5,6.2,12.7,49.0,0.1,0.5,25.0,0-2,0.48,0.49,0.25,22
Philadelphia 76ers,28,6.4,13.9,45.6,45.9,6.3,13.6,46.2,0.1,0.3,22.2,0-2,0.456,0.462,0.222,23
Phoenix Suns,28,8.6,18.5,46.6,47.3,8.4,17.8,47.1,0.3,0.7,35.0,0-2,0.466,0.47100000000000003,0.35,24
Portland Trail Blazers,29,7.5,17.2,43.3,44.7,7.0,16.2,43.3,0.5,1.1,43.8,0-2,0.433,0.433,0.43799999999999994,25
Sacramento Kings,28,7.7,16.4,47.1,47.5,7.6,15.8,48.1,0.1,0.6,22.2,0-2,0.47100000000000003,0.48100000000000004,0.222,26
San Antonio Spurs,28,7.1,14.6,48.8,49.3,7.0,14.4,48.6,0.1,0.3,57.1,0-2,0.488,0.486,0.5710000000000001,27
Toronto Raptors,26,7.3,14.6,50.3,51.2,7.1,13.9,50.8,0.3,0.7,38.9,0-2,0.503,0.508,0.389,28
Utah Jazz,28,7.9,16.3,48.4,48.9,7.7,15.9,48.6,0.2,0.5,38.5,0-2,0.484,0.486,0.385,29
Washington Wizards,27,6.7,15.7,42.9,43.0,6.7,15.4,43.4,0.0,0.3,14.3,0-2,0.429,0.434,0.14300000000000002,30
Atlanta Hawks,27,14.7,29.8,49.4,51.0,13.7,26.0,52.8,1.0,3.8,25.5,2-4,0.494,0.528,0.255,1
Boston Celtics,28,13.4,28.0,47.9,50.6,11.9,22.8,52.3,1.5,5.2,28.8,2-4,0.479,0.523,0.28800000000000003,2
Brooklyn Nets,26,12.3,25.9,47.3,49.3,11.2,22.4,50.1,1.0,3.5,29.7,2-4,0.473,0.501,0.297,3
Charlotte Hornets,29,14.6,31.6,46.2,48.9,12.9,26.2,49.4,1.7,5.5,31.0,2-4,0.462,0.494,0.31,4
Chicago Bulls,27,14.7,32.8,44.7,46.1,13.7,29.1,47.3,0.9,3.7,24.8,2-4,0.447,0.473,0.248,5
Cleveland Cavaliers,26,13.2,28.9,45.7,48.7,11.5,23.4,49.0,1.7,5.5,31.5,2-4,0.457,0.49,0.315,6
Dallas Mavericks,28,12.1,28.5,42.4,45.2,10.5,23.1,45.5,1.6,5.4,29.1,2-4,0.424,0.455,0.29100000000000004,7
Denver Nuggets,28,13.9,31.4,44.1,46.5,12.3,26.3,46.9,1.6,5.2,30.0,2-4,0.441,0.469,0.3,8
Detroit Pistons,30,15.2,32.4,47.0,48.0,14.6,29.9,48.8,0.6,2.5,25.7,2-4,0.47,0.488,0.257,9
Golden State Warriors,29,16.4,33.0,49.8,52.3,14.8,27.0,54.7,1.7,6.0,27.6,2-4,0.498,0.547,0.276,10
Houston Rockets,29,14.6,29.7,49.2,52.6,12.6,23.2,54.2,2.0,6.4,31.2,2-4,0.49200000000000005,0.542,0.312,11
Indiana Pacers,30,14.0,29.8,46.9,48.8,12.9,26.0,49.6,1.1,3.9,29.3,2-4,0.469,0.496,0.293,12
LA Clippers,29,12.9,27.6,46.9,49.6,11.4,22.5,50.8,1.5,5.1,29.7,2-4,0.469,0.508,0.297,13
Los Angeles Lakers,31,14.6,32.5,44.8,47.8,12.7,26.4,47.9,1.9,6.1,31.4,2-4,0.44799999999999995,0.479,0.314,14
Memphis Grizzlies,28,11.8,25.4,46.3,48.2,10.9,21.9,49.6,0.9,3.5,26.2,2-4,0.46299999999999997,0.496,0.262,15
Miami Heat,29,14.5,30.2,48.1,50.0,13.3,26.8,49.9,1.2,3.5,34.0,2-4,0.48100000000000004,0.499,0.34,16
Milwaukee Bucks,26,15.6,31.5,49.4,50.7,14.7,28.7,51.3,0.8,2.8,30.1,2-4,0.494,0.513,0.301,17
Minnesota Timberwolves,27,13.7,27.4,49.8,51.3,12.8,24.3,52.8,0.8,3.1,26.2,2-4,0.498,0.528,0.262,18
New Orleans Pelicans,30,13.5,29.3,46.0,47.3,12.8,26.5,48.2,0.7,2.9,25.6,2-4,0.46,0.48200000000000004,0.256,19
New York Knicks,28,15.6,34.0,46.0,47.6,14.5,29.6,48.9,1.1,4.4,26.0,2-4,0.46,0.489,0.26,20
Oklahoma City Thunder,28,14.8,29.8,49.8,51.1,14.0,26.8,52.3,0.8,3.0,27.1,2-4,0.498,0.523,0.271,21
Orlando Magic,29,13.4,30.1,44.6,46.7,12.2,26.6,45.7,1.3,3.5,36.5,2-4,0.446,0.457,0.365,22
Philadelphia 76ers,28,13.0,28.0,46.4,48.7,11.7,23.7,49.3,1.3,4.3,30.0,2-4,0.46399999999999997,0.493,0.3,23
Phoenix Suns,28,14.3,30.4,47.2,48.6,13.4,27.5,48.8,0.9,2.8,31.6,2-4,0.47200000000000003,0.488,0.316,24
Portland Trail Blazers,29,14.1,28.5,49.4,52.5,12.3,23.3,52.8,1.8,5.2,34.2,2-4,0.494,0.528,0.342,25
Sacramento Kings,28,13.3,28.1,47.2,48.5,12.5,25.4,49.3,0.8,2.7,27.6,2-4,0.47200000000000003,0.493,0.276,26
San Antonio Spurs,28,11.9,25.7,46.3,48.1,11.0,22.6,48.4,0.9,3.0,30.6,2-4,0.46299999999999997,0.484,0.306,27
Toronto Raptors,26,16.8,33.8,49.8,51.8,15.5,29.4,52.6,1.4,4.4,30.7,2-4,0.498,0.526,0.307,28
Utah Jazz,28,12.3,23.9,51.6,54.3,11.0,20.5,53.8,1.3,3.4,37.9,2-4,0.516,0.5379999999999999,0.379,29
Washington Wizards,27,15.2,30.2,50.1,51.9,14.1,27.5,51.2,1.1,2.7,39.2,2-4,0.501,0.512,0.392,30
Atlanta Hawks,27,10.0,22.5,44.5,51.9,6.7,12.8,51.9,3.3,9.6,34.6,4-6,0.445,0.519,0.34600000000000003,1
Boston Celtics,28,10.2,23.3,43.8,53.1,5.9,12.0,49.1,4.3,11.3,38.2,4-6,0.43799999999999994,0.491,0.382,2
Brooklyn Nets,26,8.8,21.7,40.4,49.2,4.9,9.4,52.5,3.9,12.3,31.2,4-6,0.40399999999999997,0.525,0.312,3
Charlotte Hornets,29,9.9,22.1,44.5,52.9,6.2,12.4,49.7,3.7,9.7,37.9,4-6,0.445,0.49700000000000005,0.379,4
Chicago Bulls,27,9.2,22.0,41.8,47.6,6.6,13.5,49.0,2.6,8.4,30.3,4-6,0.418,0.49,0.303,5
Cleveland Cavaliers,26,11.4,25.1,45.4,56.1,6.0,12.0,50.3,5.4,13.2,40.9,4-6,0.45399999999999996,0.503,0.409,6
Dallas Mavericks,28,10.6,25.9,40.9,48.8,6.5,13.7,47.5,4.1,12.2,33.4,4-6,0.409,0.475,0.33399999999999996,7
Denver Nuggets,28,10.4,23.9,43.5,53.0,5.9,11.7,50.1,4.5,12.2,37.1,4-6,0.435,0.501,0.371,8
Detroit Pistons,30,11.1,23.4,47.4,55.1,7.5,14.5,51.8,3.6,8.9,40.2,4-6,0.474,0.518,0.402,9
Golden State Warriors,29,11.2,22.5,49.8,59.0,7.0,11.4,61.8,4.2,11.1,37.5,4-6,0.498,0.618,0.375,10
Houston Rockets,29,10.7,24.8,43.1,54.7,4.9,8.6,57.7,5.8,16.3,35.4,4-6,0.431,0.5770000000000001,0.354,11
Indiana Pacers,30,10.0,23.5,42.4,48.6,7.1,14.5,48.6,2.9,9.0,32.3,4-6,0.424,0.486,0.32299999999999995,12
LA Clippers,29,12.4,26.1,47.5,56.3,7.8,14.6,53.1,4.6,11.4,40.4,4-6,0.475,0.531,0.40399999999999997,13
Los Angeles Lakers,31,10.0,22.2,45.3,54.1,6.1,11.8,52.1,3.9,10.4,37.6,4-6,0.45299999999999996,0.521,0.376,14
Memphis Grizzlies,28,9.4,23.7,39.7,46.9,5.9,13.7,43.4,3.5,10.0,34.5,4-6,0.397,0.434,0.345,15
Miami Heat,29,9.4,23.6,40.1,47.1,6.2,12.5,49.4,3.3,11.1,29.6,4-6,0.401,0.494,0.29600000000000004,16
Milwaukee Bucks,26,7.7,20.0,38.5,45.5,4.9,10.9,44.9,2.8,9.1,30.8,4-6,0.385,0.449,0.308,17
Minnesota Timberwolves,27,8.7,20.1,43.1,49.3,6.2,12.2,50.6,2.5,7.9,31.5,4-6,0.431,0.506,0.315,18
New Orleans Pelicans,30,10.5,26.0,40.2,47.4,6.7,14.5,46.4,3.7,11.5,32.4,4-6,0.402,0.46399999999999997,0.324,19
New York Knicks,28,10.1,23.9,42.2,50.0,6.3,13.5,46.7,3.8,10.4,36.2,4-6,0.42200000000000004,0.467,0.36200000000000004,20
Oklahoma City Thunder,28,9.8,22.6,43.3,50.6,6.5,12.6,51.7,3.3,10.0,32.7,4-6,0.433,0.517,0.327,21
Orlando Magic,29,9.0,22.5,39.8,46.5,5.9,12.5,47.6,3.0,10.1,30.1,4-6,0.39799999999999996,0.47600000000000003,0.301,22
Philadelphia 76ers,28,9.7,24.8,39.1,46.8,5.9,13.0,45.2,3.8,11.8,32.4,4-6,0.391,0.452,0.324,23
Phoenix Suns,28,9.5,23.6,40.2,46.5,6.5,13.8,46.8,3.0,9.8,30.8,4-6,0.402,0.46799999999999997,0.308,24
Portland Trail Blazers,29,10.4,22.1,47.1,55.4,6.7,11.9,56.1,3.7,10.2,36.4,4-6,0.47100000000000003,0.561,0.364,25
Sacramento Kings,28,9.2,21.8,42.2,49.3,6.1,12.7,48.0,3.1,9.0,34.0,4-6,0.42200000000000004,0.48,0.34,26
San Antonio Spurs,28,11.4,23.9,47.6,55.2,7.7,14.3,53.9,3.6,9.5,38.2,4-6,0.47600000000000003,0.539,0.382,27
Toronto Raptors,26,10.1,23.0,43.7,52.8,5.9,12.3,47.7,4.2,10.7,39.2,4-6,0.43700000000000006,0.47700000000000004,0.392,28
Utah Jazz,28,9.5,21.6,43.8,53.3,5.4,10.4,51.5,4.1,11.2,36.6,4-6,0.43799999999999994,0.515,0.366,29
Washington Wizards,27,11.3,25.4,44.3,50.6,8.0,15.6,51.4,3.2,9.8,32.8,4-6,0.44299999999999995,0.514,0.32799999999999996,30
Atlanta Hawks,27,7.3,17.4,41.9,53.8,3.1,5.6,56.7,4.2,11.8,35.0,Over 6,0.419,0.5670000000000001,0.35,1
Boston Celtics,28,7.8,18.6,41.7,55.2,2.7,4.9,55.9,5.0,13.8,36.6,Over 6,0.41700000000000004,0.5589999999999999,0.366,2
Brooklyn Nets,26,7.7,19.9,38.9,54.2,1.6,3.0,54.4,6.1,16.9,36.1,Over 6,0.389,0.544,0.361,3
Charlotte Hornets,29,6.1,15.9,38.3,50.9,2.1,4.7,45.2,4.0,11.3,35.5,Over 6,0.38299999999999995,0.452,0.355,4
Chicago Bulls,27,4.8,12.3,39.2,48.9,2.4,5.4,44.5,2.4,6.9,34.9,Over 6,0.392,0.445,0.349,5
Cleveland Cavaliers,26,8.3,17.5,47.4,64.9,2.1,3.5,60.9,6.2,14.0,44.0,Over 6,0.474,0.609,0.44,6
Dallas Mavericks,28,7.3,16.8,43.2,56.9,2.6,5.1,52.1,4.6,11.7,39.3,Over 6,0.43200000000000005,0.521,0.39299999999999996,7
Denver Nuggets,28,5.1,11.9,42.7,55.4,2.1,4.0,51.3,3.0,7.8,38.3,Over 6,0.42700000000000005,0.513,0.38299999999999995,8
Detroit Pistons,30,5.4,14.6,37.1,47.4,2.4,4.7,50.7,3.0,9.8,30.5,Over 6,0.371,0.507,0.305,9
Golden State Warriors,29,8.8,18.0,48.9,64.9,3.1,4.8,64.5,5.8,13.3,43.4,Over 6,0.489,0.645,0.434,10
Houston Rockets,29,8.5,18.1,47.0,64.9,2.1,3.0,69.0,6.5,15.1,42.7,Over 6,0.47,0.69,0.42700000000000005,11
Indiana Pacers,30,7.3,15.9,45.8,58.3,3.3,6.5,50.8,4.0,9.4,42.3,Over 6,0.45799999999999996,0.508,0.423,12
LA Clippers,29,6.9,15.0,46.3,59.1,3.1,5.7,54.2,3.8,9.2,41.4,Over 6,0.46299999999999997,0.542,0.414,13
Los Angeles Lakers,31,6.2,14.4,43.0,53.3,3.3,5.9,54.9,2.9,8.4,34.7,Over 6,0.43,0.5489999999999999,0.34700000000000003,14
Memphis Grizzlies,28,6.8,17.0,39.8,50.6,3.1,6.6,46.6,3.7,10.4,35.4,Over 6,0.39799999999999996,0.466,0.354,15
Miami Heat,29,6.3,15.6,40.6,52.5,2.6,5.5,47.5,3.7,10.1,36.9,Over 6,0.406,0.475,0.369,16
Milwaukee Bucks,26,8.0,17.3,46.1,59.7,3.3,5.3,61.2,4.7,11.9,39.4,Over 6,0.461,0.612,0.39399999999999996,17
Minnesota Timberwolves,27,7.9,18.1,43.6,56.3,3.3,6.4,51.7,4.6,11.6,39.2,Over 6,0.436,0.517,0.392,18
New Orleans Pelicans,30,7.6,17.0,44.5,56.5,3.5,6.1,57.1,4.1,10.9,37.4,Over 6,0.445,0.5710000000000001,0.374,19
New York Knicks,28,7.1,15.5,46.0,59.6,2.9,5.2,55.9,4.2,10.3,41.0,Over 6,0.46,0.5589999999999999,0.41,20
Oklahoma City Thunder,28,6.4,16.0,40.0,53.2,2.1,3.9,55.6,4.3,12.1,35.0,Over 6,0.4,0.556,0.35,21
Orlando Magic,29,6.5,16.2,40.4,52.1,2.8,5.8,47.7,3.8,10.4,36.3,Over 6,0.40399999999999997,0.47700000000000004,0.363,22
Philadelphia 76ers,28,7.5,17.7,42.1,57.6,2.0,4.1,48.7,5.5,13.6,40.2,Over 6,0.42100000000000004,0.48700000000000004,0.402,23
Phoenix Suns,28,6.7,16.2,41.2,53.7,2.6,5.1,50.7,4.1,11.1,36.8,Over 6,0.41200000000000003,0.507,0.368,24
Portland Trail Blazers,29,6.9,16.2,42.8,56.2,2.6,4.3,60.5,4.3,11.9,36.4,Over 6,0.428,0.605,0.364,25
Sacramento Kings,28,7.0,17.0,41.1,54.0,2.6,5.1,51.0,4.4,11.9,36.8,Over 6,0.41100000000000003,0.51,0.368,26
San Antonio Spurs,28,7.8,17.2,45.4,58.0,3.5,7.7,45.6,4.3,9.5,45.3,Over 6,0.45399999999999996,0.456,0.45299999999999996,27
Toronto Raptors,26,6.2,13.2,47.1,61.6,2.4,4.5,52.5,3.9,8.7,44.2,Over 6,0.47100000000000003,0.525,0.442,28
Utah Jazz,28,6.5,15.7,41.7,54.9,2.4,4.2,57.3,4.1,11.5,36.0,Over 6,0.41700000000000004,0.573,0.36,29
Washington Wizards,27,6.8,14.9,46.0,58.1,3.3,5.6,57.9,3.6,9.3,38.8,Over 6,0.46,0.579,0.38799999999999996,30
